text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.7845623504169905
Take a look at this video on YouTube:﻿,1,1,0.628309145392264
amazing song﻿,0,0,0.25905178524108363
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.32861882253209046
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.20063209000620913
C'mon 3 billion views!!!!!!!!﻿,0,0,0.2948429118348234
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.15754445690009622
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9009398211886201
subscribe﻿,1,1,0.730782150038657
just came here to check the views :P﻿,0,0,0.4309502571941723
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.5341095957219797
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.6852205924999973
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.6514406775573359
just for test I have to say murdev.com,1,1,0.5341095957219797
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.880864186190672
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.8929859492155701
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.22862623787636246
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.298394233718498
thumbs up if u checked this video to see hw views it got﻿,0,1,0.6644110905727779
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.22643119867813077
2010:(﻿,0,0,0.3275553092460637
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.6539883978607037
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.9228388330868941
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.762791620843965
beautiful,0,0,0.22670129506514314
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.7674297337108116
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.7571613425957553
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.6089715201489507
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.21611146327566527
Hey check out my channel!!!! Please,1,1,0.9935409347155235
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.32158125584616815
eminem new song check out my videos,1,1,0.8044698773926615
Great song﻿,0,0,0.2147134357578669
Check out this video on YouTube: I ﻿,1,1,0.9346986687959906
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.3147179070292243
❤️❤️❤️﻿,0,0,0.4181391058619805
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0,0,0.1972452416163283
cool﻿,0,0,0.2676429786902766
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0,0,0.3386377030728184
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,1,0.9693379125975345
love the you lie the good﻿,0,0,0.1884042427457795
Fuck you Eminem﻿,0,0,0.23890670351762228
HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1,1,0.5772299663030079
Y LOVE YOU﻿,0,0,0.19326230578151288
We can have a party next share﻿,1,0,0.4432696554290436
Pleas subscribe my channel﻿,1,1,0.8573253620610205
"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,1,0.7605550247202862
guys please subscribe me to help my channel grow please guys﻿,1,1,0.9419059088113676
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1,0,0.4170462687881371
wierd but funny﻿,0,0,0.3386377030728184
https://vimeo.com/107297364﻿,1,0,0.4181391058619805
"You are all sheep, period. This is terrible music.﻿",0,0,0.3219514695900993
Subscribe to me and I'll subscribe back!!!﻿,1,1,0.9415998683647799
5 years... ﻿,0,0,0.23721634102159098
Let get this video to one billion views﻿,0,0,0.24792821870330706
And somehow she has access to makeup in the middle of the woods...﻿,0,0,0.34427419391819386
Sub to my channel visuelgamingzNL I sub back﻿,1,1,0.799744642809431
LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1,0,0.47008542305323947
I remember this :D,0,0,0.3204077857361926
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0,0,0.2859812369040467
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0,0,0.2397925177545056
Shakira is the best dancer,0,0,0.17714004499883929
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1,0,0.4181391058619805
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1,1,0.7909955826629433
I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,1,0.5806589373532873
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1,1,0.5538979418515317
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1,1,0.5453821295597371
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0,0,0.2596957208094169
shakira is the best!,0,0,0.1178071926776024
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,1,0.7268626432834344
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1,1,0.760381393887569
Check my first video out﻿,1,1,0.8647817453016564
Party Rock....lol...who wants to shuffle!!!﻿,0,0,0.26556236767044544
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0,0,0.12332553162334726
this very good so I dance with some companions front of the whole school﻿,0,0,0.25816890718842606
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1,1,0.7120759791638992
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,0,0.32735439194181815
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,0,0.18189559071699607
Check me out! I'm kyle. I rap so yeah ﻿,1,1,0.7904843365888257
SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1,1,0.897426428181144
Check my channel﻿,1,1,0.9160108543755633
Can somebody wake me up when we get to 3 billion views.﻿,0,0,0.30912585816507265
"Check out Melbourne shuffle, everybody!﻿",1,1,0.6809144247143117
Come subscribe﻿,1,1,0.5895650210208744
Check out this video on YouTube: ﻿,1,1,0.9346986687959906
"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1,1,0.5060340087368161
Check my channel please! And listen to the best music ever :P﻿,1,1,0.7530078785690962
I am so awesome and smart!!! Sucscribe to me!﻿,1,1,0.5394521059043756
Cool﻿,0,0,0.2676429786902766
I love you,0,0,0.09212435453503179
*****PLEASE READ*****  Hey everyone! I&#39;m a 19 year old student  who loves to sing.  I record and upload covers on my channel. I would love if you could check them out.  Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear)  Just listen. I&#39;d really appreciate.  ~THANK YOU for your time. ~,1,1,0.7429996160075201
Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1,1,0.5923742776199611
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1,1,0.6217785142331153
Like this comment for no reason.﻿,1,1,0.6777943061324836
I hav absolutely no idea what he's saying. Is it even a language?﻿,0,0,0.3382303722738338
"When I hear Katy singing this, I cry. The song has got depth.﻿",0,0,0.24426129538535968
How can this have 2 billion views when there's only me on the planet? LOL﻿,0,0,0.15777573381351093
www.marketglory.com/strategygame/lordviperas﻿,1,0,0.4181391058619805
"I make guitar covers, please have a look at my channel﻿",1,1,0.7094017019499685
Please check out my vidios guys﻿,1,1,0.7687140710879404
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0,0,0.21995219894971765
The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,0,0,0.27569605939012637
VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1,1,0.6146151773954014
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1,1,0.557454928542913
"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",1,1,0.6845075430193365
2015 LIKEEE﻿,0,0,0.33863770307281843
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1,0,0.3275553092460637
"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",0,0,0.2441440991490854
this song is racist,0,0,0.19466270978793454
Please help me go here http://www.gofundme.com/littlebrother﻿,1,1,0.7750388034320319
"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1,1,0.64272159496958
Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1,1,0.7542409922237864
And i´m Shufflin still today :D﻿,0,0,0.3140533592364667
cool cool cool cool cool cool cool﻿,0,0,0.26549753575186985
3m subscribers but look at the views its 700 million wtf :P﻿,1,1,0.5460598607224276
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0,0,0.1859009941180754
"do you guys know, there&#39;s a part two of this song! :D﻿",0,0,0.28074931547763887
"I want to see Shakira, not football :)",0,0,0.3310031847281156
"Party rock anthem is love,party rock anthem is life﻿",0,0,0.2253229448734409
"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1,1,0.8981043797447434
i want to be that robot guy...﻿,0,0,0.3686599913091712
I like you . Katy Perry 600▲60▲6▲﻿,0,0,0.23901498498483095
Very Nice !!!<br />Yeah Fucking.﻿,0,0,0.2948784696833533
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0,0,0.28225097629999457
"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",0,0,0.14887142405907555
http://binbox.io/1FIRo#123﻿,1,0,0.4181391058619805
Put famous people in the jungle for an hour and look what happens.﻿,0,0,0.3756735381778083
Subscribe﻿,1,1,0.730782150038657
Nice song .See my new track.﻿,1,0,0.42560252650384495
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1,1,0.6259990195973979
Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1,1,0.8813036663188505
it pisses me off a bit that blank space has more views (868 mio) than this. meh ﻿,0,0,0.2560248687541686
Who else would give Katy perry a good old mighty roar? ;)﻿,0,0,0.12443076496063207
 I hate this song! ﻿,0,0,0.18874499330861072
I love it,0,0,0.09212435453503179
Loves it﻿,0,0,0.13136688320932033
Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1,1,0.5720667384541946
Plizz withing my channel ﻿,1,1,0.6830303259898592
SHAKIRA SONG WAKA WAKA﻿,0,0,0.12923334579210174
I love her green eyes﻿,0,0,0.24377781086693437
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,1,1,0.5916181522761867
Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,1,1,0.6198797108421272
Check out my acoustic channel ﻿,1,1,0.9163181079809236
Will this song ever reach 7 Billion Views?﻿,0,0,0.23859495034137204
Aslamu Lykum... From Pakistan﻿,1,1,0.5341095957219796
"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0,0,0.29068851750455527
I always end up coming back to this song<br />﻿,0,0,0.17292195933931143
like the songs﻿,0,0,0.3538547144725038
Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0,0,0.19266717571774877
"help me click on the subscribe Mai Nguyen, thank you﻿",1,1,0.8712412181343142
Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks,1,1,0.9689880810715921
