text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.9439436951716084
Take a look at this video on YouTube:﻿,1,1,0.6979286183054353
amazing song﻿,0,0,0.006422396586008062
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.06799551777765639
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.08076251693552298
C'mon 3 billion views!!!!!!!!﻿,0,0,0.15264966878625832
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.10300147495926625
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9432101444136379
subscribe﻿,1,1,0.9999999877570643
just came here to check the views :P﻿,0,1,0.607358911215626
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,0,0.48170652632009336
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.7587189944721245
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.7438443365475739
just for test I have to say murdev.com,1,1,0.7918479881358006
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.7618972080729454
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9747565753308174
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.14601836119720682
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.10506329313138964
thumbs up if u checked this video to see hw views it got﻿,0,1,0.5321288665834869
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.15853707228605426
2010:(﻿,0,1,0.5268803850439459
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.9744890126601617
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.8791971890964196
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.7655776338511797
beautiful,0,0,2.022729869548606e-05
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.940157150293139
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.7984843659553509
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.7621299010694119
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.4742565954968037
Hey check out my channel!!!! Please,1,1,0.9987766569460444
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.40561504466477083
eminem new song check out my videos,1,1,0.9396104208206533
Great song﻿,0,0,0.0026381722970947406
Check out this video on YouTube: I ﻿,1,1,0.9325935108877553
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.254873201720927
❤️❤️❤️﻿,0,1,0.5616406610035886
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0,0,0.30208860266319804
cool﻿,0,0,0.017101731893715756
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0,0,0.1901309111911256
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,1,0.985583626229202
love the you lie the good﻿,0,0,0.16268530501324543
Fuck you Eminem﻿,0,0,0.1365194917440901
HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1,1,0.6916870097926636
Y LOVE YOU﻿,0,0,0.02579529860986874
We can have a party next share﻿,1,1,0.6148080104250374
Pleas subscribe my channel﻿,1,1,0.999922411217968
"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,1,0.7761175837691332
guys please subscribe me to help my channel grow please guys﻿,1,1,0.9988564149642019
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1,0,0.1686317256686879
wierd but funny﻿,0,0,0.049389570251408665
https://vimeo.com/107297364﻿,1,1,0.6772600993009583
"You are all sheep, period. This is terrible music.﻿",0,0,0.16990658373366044
Subscribe to me and I'll subscribe back!!!﻿,1,1,0.9993896372077561
5 years... ﻿,0,0,0.21206155527886986
Let get this video to one billion views﻿,0,0,0.2827594476118779
And somehow she has access to makeup in the middle of the woods...﻿,0,0,0.3282777896413715
Sub to my channel visuelgamingzNL I sub back﻿,1,1,0.9626141000394314
LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1,1,0.9803895420234582
I remember this :D,0,0,0.3101420992413109
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0,0,0.35494894044909675
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0,0,0.19170910072177055
Shakira is the best dancer,0,0,0.015171058422069167
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1,1,0.974244261534724
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1,1,0.7968255465302702
I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,0,0.4413149172013821
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1,1,0.7378508430926527
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1,0,0.4845823574187739
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0,0,0.178477547228517
shakira is the best!,0,0,0.04773302338379056
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,1,0.8954941604390573
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1,1,0.7806667289757124
Check my first video out﻿,1,1,0.9709228741908842
Party Rock....lol...who wants to shuffle!!!﻿,0,0,0.47868418014522335
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0,0,0.09586783485546582
this very good so I dance with some companions front of the whole school﻿,0,0,0.1700631274284833
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1,1,0.5886704951588709
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,0,0.336412011153601
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,0,0.10500794486310325
Check me out! I'm kyle. I rap so yeah ﻿,1,1,0.6899862755225863
SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1,1,0.998461921501824
Check my channel﻿,1,1,0.9997872665837578
Can somebody wake me up when we get to 3 billion views.﻿,0,0,0.4824793979744804
"Check out Melbourne shuffle, everybody!﻿",1,1,0.9695590613544994
Come subscribe﻿,1,1,0.9997969029808694
Check out this video on YouTube: ﻿,1,1,0.9649470005034003
"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1,0,0.48230300611210913
Check my channel please! And listen to the best music ever :P﻿,1,1,0.9068149689974768
I am so awesome and smart!!! Sucscribe to me!﻿,1,0,0.4600624041034981
Cool﻿,0,0,0.017101731893715756
I love you,0,0,0.10506339621142259
*****PLEASE READ*****  Hey everyone! I&#39;m a 19 year old student  who loves to sing.  I record and upload covers on my channel. I would love if you could check them out.  Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear)  Just listen. I&#39;d really appreciate.  ~THANK YOU for your time. ~,1,1,0.8745116008505985
Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1,1,0.6460730473790703
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1,1,0.9673431484463222
Like this comment for no reason.﻿,1,1,0.641585622089868
I hav absolutely no idea what he's saying. Is it even a language?﻿,0,0,0.1006076143976155
"When I hear Katy singing this, I cry. The song has got depth.﻿",0,0,0.08618109581063035
How can this have 2 billion views when there's only me on the planet? LOL﻿,0,0,0.31255596462983426
www.marketglory.com/strategygame/lordviperas﻿,1,1,0.6772600993009583
"I make guitar covers, please have a look at my channel﻿",1,1,0.8815320190510254
Please check out my vidios guys﻿,1,1,0.9958960770348683
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0,0,0.07407554466630982
The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,0,0,0.29943329033560656
VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1,1,0.6360087475537755
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1,1,0.6199545677562179
"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",1,1,0.9300584086910327
2015 LIKEEE﻿,0,0,0.1344570269675653
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1,1,0.6825273411748143
"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",0,0,0.1710072234968739
this song is racist,0,0,0.032218570420069224
Please help me go here http://www.gofundme.com/littlebrother﻿,1,1,0.994767943909268
"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1,1,0.6975661177922365
Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1,1,0.8818463561307108
And i´m Shufflin still today :D﻿,0,0,0.248839620158483
cool cool cool cool cool cool cool﻿,0,0,0.00042500697500994416
3m subscribers but look at the views its 700 million wtf :P﻿,1,1,0.5403159353446355
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0,0,0.020491939002110608
"do you guys know, there&#39;s a part two of this song! :D﻿",0,0,0.2900807858626907
"I want to see Shakira, not football :)",0,0,0.46169552069991
"Party rock anthem is love,party rock anthem is life﻿",0,0,0.08606816204968734
"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1,1,0.9255542540295809
i want to be that robot guy...﻿,0,0,0.43004029424690415
I like you . Katy Perry 600▲60▲6▲﻿,0,0,0.1575980728225563
Very Nice !!!<br />Yeah Fucking.﻿,0,0,0.09051253312607928
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0,0,0.15460115496131138
"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",0,0,0.18441744098847737
http://binbox.io/1FIRo#123﻿,1,1,0.6772600993009583
Put famous people in the jungle for an hour and look what happens.﻿,0,0,0.3762378677443997
Subscribe﻿,1,1,0.9999999877570643
Nice song .See my new track.﻿,1,1,0.6408986854204927
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1,1,0.6901838928821241
Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1,1,0.9848567911308294
it pisses me off a bit that blank space has more views (868 mio) than this. meh ﻿,0,0,0.26611072760652427
Who else would give Katy perry a good old mighty roar? ;)﻿,0,0,0.1492750733204221
 I hate this song! ﻿,0,0,0.04157861594368873
I love it,0,0,0.013641409550468095
Loves it﻿,0,0,0.09032843768611183
Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1,0,0.28155696492991183
Plizz withing my channel ﻿,1,1,0.9182145461281515
SHAKIRA SONG WAKA WAKA﻿,0,0,0.005694257100617339
I love her green eyes﻿,0,0,0.03836405899266796
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,1,1,0.8450793893923655
Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,1,1,0.517726079339402
Check out my acoustic channel ﻿,1,1,0.9951562896083235
Will this song ever reach 7 Billion Views?﻿,0,0,0.12170108584173794
Aslamu Lykum... From Pakistan﻿,1,0,0.46394259287826667
"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0,0,0.4990399102926062
I always end up coming back to this song<br />﻿,0,0,0.2970299104125436
like the songs﻿,0,0,0.07742353405330077
Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0,0,0.04063417885588051
"help me click on the subscribe Mai Nguyen, thank you﻿",1,1,0.9896494568734759
Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks,1,1,0.9376898368258956
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?",1,1,0.8373206953003741
Subscribe me please﻿,1,1,0.9999548759612849
https://twitter.com/GBphotographyGB﻿,1,1,0.6772600993009583
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0,0,0.17057836019154496
"Every collaboration between them, we know it will be number 1 ﻿",0,1,0.5466632550168128
super rihanna﻿,0,0,0.05729153024140784
"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1,0,0.22248562135762492
this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,1,0,0.23158445591994375
Hey guys please just spent one minute for me:) im a singer from srilanka and im 18 year&#39;s old! SooO I LIKE TO BE GREAT SINGER will be a one day so i hope it would be happen in really my life. Just view my videos and rate it and let me know how is my voice please help us guys closer to living my dream:)! I really know you&#39;d helped me who read this comment he/she can just understand my feeling ! Thanks guys lv u really much more! SUBSCRIBE IT MY CHANNEL AND ONECE AGAIN THANK U !,1,1,0.6796769689896562
CHECK OUT MY MUSIC VIDEO ON MY CHANEL!!!,1,1,0.9738539736619477
https://binbox.io/DNCkM#qT4Q1JB1﻿,1,1,0.6772600993009583
subscribe me if u love eminem,1,1,0.9519536323568557
Check out this playlist on YouTube:👿👳👳👳👳👳﻿,1,1,0.9889986199298968
"This is so cool,why haven&#39;t I heard this before?﻿",0,0,0.12516706932763697
Best song ever!!!!﻿,0,0,0.02368682601043356
Hay dakota u earned a subscribee,1,1,0.947238761814429
Where are Shakifans?,0,0,0.2895697393640334
I like this song ﻿,0,0,0.08218662255771982
share your thoughts﻿,1,1,0.9913840426464973
Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,0,0,0.2638697922949546
She is perfect! &lt;3,0,0,0.08855750127344804
This song is so beauty,0,0,0.020517388538124237
sorry to all my haters<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />for party rock en﻿,0,1,0.5883468017762336
LIKE AND SUBSCRIBE﻿,1,1,0.9980026905934478
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",1,1,0.748285107960559
  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,1,0,0.38897267740698427
awesome﻿,0,0,0.07895456352161836
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0,1,0.5179247463569493
Meet The Richest Online Marketer  NOW CLICK : bit.ly/make-money-without-adroid,1,1,0.955139525828766
She's an old Whore!﻿,0,0,0.1323909425899832
https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,1,1,0.6825273411748143
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,1,0.8512391072276483
"great song, but we all know that Katy buys her views..﻿",0,0,0.1471808191285188
"Anyone Who LOVEs music , please go check out my youtube page and tell me  what you think . I just put a video up and will be doing more song. I'm  just trying to get myself started. Any love is much Appreciated ﻿",1,1,0.7216598064693808
