text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.8308978121656794
Take a look at this video on YouTube:﻿,1,1,0.7945693724172341
amazing song﻿,0,0,0.033727755821812914
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.16460648352202187
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.17434510722840682
C'mon 3 billion views!!!!!!!!﻿,0,0,0.11765523870133601
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.20056007891569821
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.9498094763547641
subscribe﻿,1,1,0.8787495677608707
just came here to check the views :P﻿,0,0,0.28187206686654553
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.7326381961318417
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.7538186666201193
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.9283687557308112
just for test I have to say murdev.com,1,1,0.9211156497981758
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.8577347807101812
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9755162772674147
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.14863901364977786
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.1342657544099011
thumbs up if u checked this video to see hw views it got﻿,0,1,0.500716020048067
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.3965504796366672
2010:(﻿,0,0,0.1252194562161718
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.6508157290479689
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.8937002410159371
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.5937321081925548
beautiful,0,0,0.058000229470157476
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.8525901539603066
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.8055199536669186
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.6888840378752419
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.14557033184317378
Hey check out my channel!!!! Please,1,1,0.9513587709387537
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.1798084835622397
eminem new song check out my videos,1,1,0.7321667770084487
Great song﻿,0,0,0.045559554392934506
Check out this video on YouTube: I ﻿,1,1,0.7588965438678069
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0,0,0.3110682367257737
❤️❤️❤️﻿,0,0,0.033217857766399114
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0,1,0.5582613999580076
cool﻿,0,0,0.32065920640109724
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0,0,0.11590144245792426
EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,1,1,0.9917627961647738
love the you lie the good﻿,0,0,0.12122749213074692
Fuck you Eminem﻿,0,0,0.1551964622301227
HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!﻿,1,1,0.5859774136547633
Y LOVE YOU﻿,0,0,0.0807478295140872
We can have a party next share﻿,1,1,0.6993252580899478
Pleas subscribe my channel﻿,1,1,0.9784094982848784
"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,1,0.954723470944674
guys please subscribe me to help my channel grow please guys﻿,1,1,0.992713459891279
"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1,0,0.23010423942963604
wierd but funny﻿,0,0,0.21108748983774883
https://vimeo.com/107297364﻿,1,0,0.44573642541874664
"You are all sheep, period. This is terrible music.﻿",0,0,0.1588136797447393
Subscribe to me and I'll subscribe back!!!﻿,1,1,0.9485445341831347
5 years... ﻿,0,0,0.05828068141521148
Let get this video to one billion views﻿,0,0,0.2081579966532447
And somehow she has access to makeup in the middle of the woods...﻿,0,0,0.03226951049014838
Sub to my channel visuelgamingzNL I sub back﻿,1,1,0.9396228534957874
LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿,1,1,0.8109452938862989
I remember this :D,0,0,0.31053322125812743
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0,0,0.12643947476083603
Its 2015 and still shuffling to this song🎶🎵🎧﻿,0,0,0.10120735259847134
Shakira is the best dancer,0,0,0.0889834026632578
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1,1,0.7795018359276621
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1,1,0.8661075683637973
I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),1,1,0.8365214643225458
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1,1,0.8099276279185844
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1,0,0.25584842491267873
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0,0,0.11606672746162891
shakira is the best!,0,0,0.08155682597178268
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,1,0.9890810582229865
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1,1,0.9454977429394349
Check my first video out﻿,1,1,0.7826353720527387
Party Rock....lol...who wants to shuffle!!!﻿,0,0,0.11356606342749309
How can this song have 629 million views while there are only 7 million  people in the world?﻿,0,0,0.06025142001008765
this very good so I dance with some companions front of the whole school﻿,0,0,0.258612178333563
"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿",1,1,0.9263322268614946
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,0,0.18730665641992938
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0,0,0.19023336695273454
Check me out! I'm kyle. I rap so yeah ﻿,1,1,0.8559706616382357
SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1,1,0.9804543349311169
Check my channel﻿,1,1,0.9334216131978648
Can somebody wake me up when we get to 3 billion views.﻿,0,0,0.2770165646253884
"Check out Melbourne shuffle, everybody!﻿",1,1,0.7964181212380407
Come subscribe﻿,1,1,0.7378295826029861
Check out this video on YouTube: ﻿,1,1,0.8274721806879274
"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1,1,0.5489517149791504
Check my channel please! And listen to the best music ever :P﻿,1,1,0.817391965643787
I am so awesome and smart!!! Sucscribe to me!﻿,1,1,0.7733789949090288
Cool﻿,0,0,0.32065920640109724
I love you,0,0,0.07529789371394376
*****PLEASE READ*****  Hey everyone! I&#39;m a 19 year old student  who loves to sing.  I record and upload covers on my channel. I would love if you could check them out.  Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear)  Just listen. I&#39;d really appreciate.  ~THANK YOU for your time. ~,1,1,0.9865976840382658
Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1,1,0.7164518291397888
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1,1,0.5805414273942969
Like this comment for no reason.﻿,1,0,0.13917377794109678
I hav absolutely no idea what he's saying. Is it even a language?﻿,0,0,0.15013305181339578
"When I hear Katy singing this, I cry. The song has got depth.﻿",0,0,0.09225977790777719
How can this have 2 billion views when there's only me on the planet? LOL﻿,0,0,0.11758558658966717
www.marketglory.com/strategygame/lordviperas﻿,1,1,0.8016637271562312
"I make guitar covers, please have a look at my channel﻿",1,1,0.9852993986921917
Please check out my vidios guys﻿,1,1,0.9438692020839398
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0,0,0.13696239899308854
The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,0,0,0.2371802343855729
VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1,0,0.47418958021329144
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1,1,0.5244556752222105
"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",1,1,0.9536884701312632
2015 LIKEEE﻿,0,0,0.1565260435982434
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1,1,0.6684315097467743
"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",0,0,0.0724603567452674
this song is racist,0,0,0.05628743578966486
Please help me go here http://www.gofundme.com/littlebrother﻿,1,1,0.9338364442699159
"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1,1,0.7971114155571127
Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1,1,0.7593751994013356
And i´m Shufflin still today :D﻿,0,0,0.17752239619394158
cool cool cool cool cool cool cool﻿,0,0,0.07678055800184634
3m subscribers but look at the views its 700 million wtf :P﻿,1,0,0.3688539979801961
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0,0,0.17751459154420193
"do you guys know, there&#39;s a part two of this song! :D﻿",0,0,0.3496825691802028
"I want to see Shakira, not football :)",0,0,0.21717950648472656
"Party rock anthem is love,party rock anthem is life﻿",0,0,0.11003747116599993
"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1,1,0.9859738755684054
i want to be that robot guy...﻿,0,0,0.23179263106137282
I like you . Katy Perry 600▲60▲6▲﻿,0,0,0.12610898503068407
Very Nice !!!<br />Yeah Fucking.﻿,0,0,0.4549731074875845
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0,0,0.2793583566632488
"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",0,0,0.16921874650569252
http://binbox.io/1FIRo#123﻿,1,1,0.8423887116887493
Put famous people in the jungle for an hour and look what happens.﻿,0,0,0.4877422227381666
Subscribe﻿,1,1,0.8787495677608707
Nice song .See my new track.﻿,1,0,0.29224780714368026
