text,y_true,y_pred,y_scores
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1,1,0.8939755270716357
Take a look at this video on YouTube:﻿,1,1,0.8953765359700735
amazing song﻿,0,0,0.057059123255441956
Yesterday this video have 1 million likes and now it has 2 million﻿,0,0,0.202708009930047
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,0,0.09239462823839194
C'mon 3 billion views!!!!!!!!﻿,0,0,0.11954892138378902
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0,0,0.24242287824260927
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,1,0.950843553989145
subscribe﻿,1,1,0.813491930588346
just came here to check the views :P﻿,0,0,0.26609758261417876
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,1,1,0.9300601008258558
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,1,0.6796983575157112
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,1,0.7456503204511481
just for test I have to say murdev.com,1,1,0.7874498346664058
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,1,0.833418915860722
"check it out free stuff for watching videos and filling surveys<br /><br /><a href=""http://www.prizerebel.com/index.php?r=1446084"">http://www.prizerebel.com/index.php?r=1446084</a>﻿",1,1,0.9837594139212765
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0,0,0.43557074759686365
"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0,0,0.1042835522809794
thumbs up if u checked this video to see hw views it got﻿,0,0,0.21324837725710463
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,0,0.2053364214274844
2010:(﻿,0,0,0.1178559762846842
Check out this video on YouTube:..🌈🌈🌈﻿,1,1,0.8614765558784154
"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,1,0.8907103315991824
Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1,1,0.6109608145325636
beautiful,0,0,0.08117403253778989
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1,1,0.9034049597384045
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,1,0.9379238870482252
Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!,1,1,0.68237870965824
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0,0,0.24938028971702153
Hey check out my channel!!!! Please,1,1,0.9880825427982614
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.163075912204399
eminem new song check out my videos,1,1,0.6334993458258495
Great song﻿,0,0,0.03425364688843175
Check out this video on YouTube: I ﻿,1,1,0.8734281040173346
